open_time,order,symbol,type,volume,price,sl,tp,time,state,comment
2026.06.01 15:15:38,54,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 15:15:38,filled,sl 4503.94
2026.06.01 15:29:40,55,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 15:29:40,filled,Libra C+
2026.06.01 15:31:48,56,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 15:31:48,filled,sl 4498.80
2026.06.01 15:45:20,57,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 15:45:20,filled,sl 4509.47
2026.06.01 15:55:38,58,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 15:55:38,filled,Libra C+
2026.06.01 15:58:47,59,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 15:58:47,filled,sl 4500.06
2026.06.01 16:46:00,60,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 16:46:00,filled,Libra C+
2026.06.01 16:54:00,61,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 16:54:00,filled,0.0
2026.06.01 17:16:45,62,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 17:16:45,filled,sl 4463.64
2026.06.01 17:16:45,63,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 17:16:45,filled,sl 4463.64
2026.06.01 17:33:39,64,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 17:33:39,filled,Libra C+
2026.06.01 17:38:28,65,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 17:38:28,filled,sl 4455.13
2026.06.01 17:46:41,66,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 17:46:41,filled,Libra C+
2026.06.01 17:52:04,67,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 17:52:04,filled,sl 4453.28
2026.06.01 17:56:15,68,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 17:56:15,filled,Libra C+
2026.06.01 18:31:00,69,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 18:31:00,filled,0.0
2026.06.01 19:07:40,70,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 19:07:40,filled,Libra C+
2026.06.01 19:18:59,71,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 19:18:59,filled,sl 4464.15
2026.06.01 19:18:59,72,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 19:18:59,filled,sl 4464.15
2026.06.01 19:53:57,73,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 19:53:57,filled,sl 4477.64
2026.06.01 20:12:00,74,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 20:12:00,filled,Libra C+
2026.06.01 20:44:00,75,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 20:44:00,filled,0.0
2026.06.01 21:17:40,76,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 21:17:40,filled,Libra C+
2026.06.01 22:56:15,77,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 22:56:15,filled,sl 4481.27
2026.06.01 22:56:15,78,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 22:56:15,filled,sl 4481.27
2026.06.01 23:06:27,79,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 23:06:27,filled,Libra C+
2026.06.01 23:57:59,80,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 23:57:59,filled,end of test
2026.06.01 23:57:59,81,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 23:57:59,filled,end of test
