open_time,order,symbol,type,volume,price,sl,tp,time,state,comment
2026.06.22 17:11:54,62,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 17:11:54,filled,sl 4201.69
2026.06.22 17:11:54,63,XAUUSD.s,buy,0.02,0.00,,,2026.06.22 17:11:54,filled,sl 4201.69
2026.06.22 17:43:36,64,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 17:43:36,filled,Libra C+
2026.06.22 17:46:53,65,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 17:46:53,filled,sl 4201.51
2026.06.22 17:46:53,66,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 17:46:53,filled,Libra C+
2026.06.22 17:47:23,67,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 17:47:23,filled,sl 4205.20
2026.06.22 17:56:00,68,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 17:56:00,filled,Libra C+
2026.06.22 17:58:39,69,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 17:58:39,filled,sl 4199.57
2026.06.22 18:06:39,70,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 18:06:39,filled,Libra C+
2026.06.22 18:19:48,71,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 18:19:48,filled,sl 4191.87
2026.06.22 18:58:00,72,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 18:58:00,filled,Libra C+
2026.06.22 19:43:08,73,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 19:43:08,filled,Libra C+
2026.06.22 19:54:23,74,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 19:54:23,filled,sl 4187.01
2026.06.22 20:33:05,75,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 20:33:05,filled,sl 4180.32
2026.06.22 20:52:39,76,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 20:52:39,filled,Libra C+
2026.06.22 21:02:05,77,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 21:02:05,filled,sl 4184.22
2026.06.22 21:02:26,78,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 21:02:26,filled,Libra C+
2026.06.22 22:38:07,79,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 22:38:07,filled,Libra C+
2026.06.22 23:03:24,80,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 23:03:24,filled,sl 4192.95
2026.06.22 23:48:15,81,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 23:48:15,filled,Libra C+
2026.06.22 23:58:00,82,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 23:58:00,filled,end of test
2026.06.22 23:58:00,83,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 23:58:00,filled,end of test
